"department_id","department_name","short_name","ministry_id"
"1","สถาบันบัณฑิตพัฒนศิลป์","สถาบันบัณฑิตพัฒนศิลป์","3"
"2","สกอ.","สำนักงานคณะกรรมการการอุดมศึกษา","4"
"3","สพก.","สนง.พัฒนาการกีฬาและนันทนาการ","1"
"4","สถ.","สนง.ส่งเสริมการปกครองส่วนท้องถิ่น","2"
"5","สช.","สำนักบริหารงานการส่งเสริมการศึกษาเอกชน","4"
"6","สพฐ.","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","4"
"7","สอศ.","สำนักงานคณะกรรมการการอาชีวศึกษา","4"
"8","กทม.","สำนักการศึกษา","5"
"9","อปท.","กรมการปกครองส่วนท้องถิ่น","2"
"10","สถาบันพระบรมราชชนก","สถาบันพระบรมราชชนก","6"
