"agency_id","code13","dept_name","sh_name","min_code","dept_code","div_code","sect_code","subsect_code","reg_oncb"
"1","1601172100000","สำนักยุทธศาสตร์","สยศ.","16","11 ","721","0  ","0 ","12"
"2","1601172000000","สำนักพ้ฒนาการป้องกันและแก้ไขปัญหายาเสพติด","สพป.","16","11 ","720","0  ","0 ","11"
"3","1601170800000","สำนักงานป้องกันและปราบปรามยาเสพติดกรุงเทพมหานคร","ปปส.กทม.","16","11 ","708","0  ","0 ","10"
"4","1601170900000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 1","ปปส.ภ.1","16","11 ","709","0  ","0 ","1"
"5","1601171000000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 2","ปปส.ภ.2","16","11 ","710","0  ","0 ","2"
"6","1601171100000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 3","ปปส.ภ.3","16","11 ","711","0  ","0 ","3"
"7","1601171200000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 4","ปปส.ภ.4","16","11 ","712","0  ","0 ","4"
"8","1601171300000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 5","ปปส.ภ.5","16","11 ","713","0  ","0 ","5"
"9","1601171400000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 6","ปปส.ภ.6","16","11 ","714","0  ","0 ","6"
"10","1601171500000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 7","ปปส.ภ.7","16","11 ","715","0  ","0 ","7"
"11","1601171600000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 8","ปปส.ภ.8","16","11 ","716","0  ","0 ","8"
"12","1601171700000","สำนักงานป้องกันและปราบปรามยาเสพติด ภาค 9","ปปส.ภ.9","16","11 ","717","0  ","0 ","9"
"13","1601172600000","สำนักเลขานุการกรม","สลก.","16","11 ","726","0  ","0 ","13"
"14","1601172700000","สำนักกฎหมาย","กกม.","16","11 ","727","0  ","0 ","14"
"15","1601170300000","ศูนย์เทคโนโลยีสารสนเทศ","ศทส.","16","11 ","703","0  ","0 ","15"
"16","1601170400000","สถาบันพัฒนาบุคลากรด้านการป้องกันและปราบปรามยาเสพติด","สพบ.","16","11 ","704","0  ","0 ","16"
"17","1601170500000","สถาบันวิชาการและตรวจพิสูจน์ยาเสพติด","สวพ.","16","11 ","705","0  ","0 ","17"
"18","1601170600000","สถาบันสำรวจและติดตามการปลูกพืชเสพติด","สพส.","16","11 ","706","0  ","0 ","18"
"19","1601171800000","สำนักตรวจสอบทรัพย์สินคดียาเสพติด","สตส.","16","11 ","718","0  ","0 ","19"
"20","1601171900000","สำนักปราบปรามยาเสพติด","สปป.","16","11 ","719","0  ","0 ","20"
"21","1601172800000","กลุ่มบังคับโทษปรับ","กทป.","16","11 ","728","0  ","0 ","21"
"22","1601170000100","ประจำสถานเอกอัครราชทูต ณ กรุงย่างกุ้ง","อปท.พม่า","16","11 ","700","1  ","0 ","22"
"23","1601170000200","ประจำสถานเอกอัครราชทูต ณ กรุงปักกิ่ง","อปท.จีน","16","11 ","700","2  ","0 ","23"
"24","1601170000300","กลุ่มตรวจสอบภายใน","กตส.","16","11 ","700","3  ","0 ","24"
"25","1601170000500","กลุ่มพัฒนาระบบบริหาร","กพร.","16","11 ","700","5  ","0 ","25"
"26","1601173000000","กองประสานการบำบัดรักษายาเสพติด","กบร.","16","11 ","730","0  ","0 ","26"
"27","0000000000000","ส่วนกลาง","ส่วนกลาง","16","11 ","000","0  ","0 ","27"
