"edu_area_id","edu_area_name","prov_id","prov_area","edu_area_old"
"499","สพม. กรุงเทพมหานคร เขต 1",,"10","186"
"500","สพม. กรุงเทพมหานคร เขต 2",,"10","187"
"501","สพม.นนทบุรี ",,"12","188"
"502","สพม.พระนครศรีอยุธยา ",,"14","188"
"503","สพม.ปทุมธานี ",,"13","189"
"504","สพม.สระบุรี ",,"19","189"
"505","สพม.ลพบุรี",,"16","190"
"506","สพม.สิงห์บุรี_อ่างทอง",,"17,15","190"
"507","สพม.ฉะเชิงเทรา ",,"24","191"
"508","สพม.สมุทรปราการ ",,"11","191"
"509","สพม.ปราจีนบุรี_นครนายก",,"25,26","192"
"510","สพม.สระแก้ว ",,"27","192"
"511","สพม.กาญจนบุรี ",,"71","193"
"512","สพม.ราชบุรี ",,"70","193"
"513","สพม.นครปฐม ",,"73","194"
"514","สพม.สุพรรณบุรี ",,"72","194"
"515","สพม.ประจวบคีรีขันธ์ ",,"77","195"
"516","สพม.เพชรบุรี ",,"76","195"
"517","สพม.สมุทรสาคร_สมุทรสงคราม",,"74,75","195"
"518","สพม.สุราษฎร์ธานี_ชุมพร",,"84,86","196"
"519","สพม.นครศรีธรรมราช ",,"80","197"
"520","สพม.พัทลุง ",,"93","197"
"521","สพม.ตรัง_กระบี่",,"92,81","198"
"522","สพม.พังงา_ภูเก็ต_ระนอง",,"82,83,85","199"
"523","สพม.นราธิวาส ",,"96","200"
"524","สพม.ปัตตานี ",,"94","200"
"525","สพม.ยะลา ",,"95","200"
"526","สพม.สงขลา_สตูล",,"90,91","201"
"527","สพม.จันทบุรี_ตราด",,"22,23","202"
"528","สพม.ชลบุรี_ระยอง",,"20,21","203"
"529","สพม.เลย_หนองบัวลำภู",,"42,39","204"
"530","สพม.อุดรธานี ",,"41","205"
"531","สพม.หนองคาย ",,"43","206"
"532","สพม.บึงกาฬ",,"38","206"
"533","สพม.นครพนม ",,"48","207"
"534","สพม.มุกดาหาร ",,"49","207"
"535","สพม.สกลนคร ",,"47","208"
"536","สพม.กาฬสินธุ์ ",,"46","209"
"537","สพม.ขอนแก่น ",,"40","210"
"538","สพม.มหาสารคาม ",,"44","211"
"539","สพม.ร้อยเอ็ด ",,"45","212"
"540","สพม.ศรีสะเกษ_ยโสธร ",,"33,35","213"
"541","สพม.อุบลราชธานี_อำนาจเจริญ",,"34,37","214"
"542","สพม.ชัยภูมิ ",,"36","215"
"543","สพม.นครราชสีมา ",,"30","216"
"544","สพม.บุรีรัมย์ ",,"31","217"
"545","สพม.สุรินทร์ ",,"32","218"
"546","สพม.เชียงใหม่ ",,"50","219"
"547","สพม.แม่ฮ่องสอน ",,"58","219"
"548","สพม.ลำปาง_ลำพูน",,"51,52","220"
"549","สพม.เชียงราย",,"57","221"
"550","สพม.พะเยา",,"56","221"
"551","สพม.น่าน ",,"55","222"
"552","สพม.แพร่ ",,"54","222"
"553","สพม.ตาก ",,"63","223"
"554","สพม.สุโขทัย ",,"64","223"
"555","สพม.พิษณุโลก_อุตรดิตถ์",,"53,65","224"
"556","สพม.เพชรบูรณ์ ",,"67","225"
"557","สพม.กำแพงเพชร ",,"62","226"
"558","สพม.พิจิตร ",,"66","226"
"559","สพม.นครสวรรค์ ",,"60","227"
"560","สพม.อุทัยธานี_ชัยนาท",,"61,18","227"
"0","-","00","00","0"
"1","สพป. สมุทรปราการเขต 1","11","11","1"
"2","สพป. สมุทรปราการเขต 2","11","11","2"
"3","สพป. นนทบุรีเขต 1","12","12","3"
"4","สพป. นนทบุรีเขต 2","12","12","4"
"5","สพป. ปทุมธานีเขต 1","13","13","5"
"6","สพป. ปทุมธานีเขต 2","13","13","6"
