"PROV_ID","AMP_ID","TMB_ID","TMB_NAME"
"49","07","02","โนนยาง                                                                                                                  "
"49","07","03","ภูวง                                                                                                                    "
"49","07","04","บ้านเป้า                                                                                                                "
"49","07","05","หนองสูงใต้                                                                                                              "
"49","07","06","หนองสูงเหนือ                                                                                                            "
"49","99","00","00"
"50","01","01","ศรีภูมิ*"
"50","01","02","พระสิงห์*"
"50","01","03","หายยา*"
"50","01","04","ช้างม่อย*"
"50","01","05","ช้างคลาน*"
"50","01","06","วัดเกต*"
"50","01","07","ช้างเผือก                                                                                                               "
"50","01","08","สุเทพ                                                                                                                   "
"50","01","09","แม่เหียะ (ทม.)*"
"50","01","10","ป่าแดด                                                                                                                  "
"50","01","11","หนองหอย                                                                                                                 "
"50","01","12","ท่าศาลา                                                                                                                 "
"50","01","13","หนองป่าครั่ง                                                                                                            "
"50","01","14","ฟ้าฮ่าม                                                                                                                 "
"50","01","15","ป่าตัน*"
"50","01","16","สันผีเสื้อ                                                                                                              "
"50","01","99","เทศบาลตำบลช้างเผือก*"
"50","02","01","*ยางคราม                                                                                                                "
"50","02","02","*สองแคว                                                                                                                 "
"50","02","03","บ้านหลวง"
"50","02","04","ข่วงเปา                                                                                                                 "
"50","02","05","สบเตี๊ยะ                                                                                                                "
"50","02","06","บ้านแปะ                                                                                                                 "
"50","02","07","ดอยแก้ว                                                                                                                 "
"50","02","08","*ดอยหล่อ                                                                                                                "
"50","02","09","แม่สอย                                                                                                                  "
"50","02","10","*สันติสุข                                                                                                               "
"50","02","99","เทศบาลตำบลจอมทอง*"
"50","03","01","ช่างเคิ่ง                                                                                                               "
"50","03","02","ท่าผา                                                                                                                   "
"50","03","03","บ้านทับ"
"50","03","04","แม่ศึก                                                                                                                  "
"50","03","05","แม่นาจร                                                                                                                 "
"50","03","06","บ้านจันทร์*"
"50","03","07","ปางหินฝน                                                                                                                "
"50","03","08","กองแขก                                                                                                                  "
"50","03","09","แม่แดด*"
"50","03","10","แจ่มหลวง*"
"50","03","11","กัลยานิวัฒนา*"
"50","03","99","เทศบาลตำบลแม่แจ่ม*"
"50","04","01","เชียงดาว                                                                                                                "
"50","04","02","เมืองนะ                                                                                                                 "
"50","04","03","เมืองงาย                                                                                                                "
"50","04","04","แม่นะ                                                                                                                   "
"50","04","05","เมืองคอง                                                                                                                "
"50","04","06","ปิงโค้ง                                                                                                                 "
"50","04","07","ทุ่งข้าวพวง                                                                                                             "
"50","04","98","เทศบาลตำบลเชียงดาว*"
"50","04","99","เทศบาลตำบลเมืองงาย*"
"50","05","01","เชิงดอย                                                                                                                 "
"50","05","02","สันปูเลย                                                                                                                "
"50","05","03","ลวงเหนือ                                                                                                                "
"50","05","04","ป่าป้อง                                                                                                                 "
"50","05","05","สง่าบ้าน                                                                                                                "
"50","05","06","ป่าลาน                                                                                                                  "
"50","05","07","ตลาดขวัญ                                                                                                                "
"50","05","08","สำราญราษฏร์                                                                                                             "
"50","05","09","แม่คือ                                                                                                                  "
"50","05","10","ตลาดใหญ่                                                                                                                "
"50","05","11","แม่ฮ้อยเงิน                                                                                                             "
"50","05","12","แม่โป่ง                                                                                                                 "
"50","05","13","ป่าเมี่ยง                                                                                                               "
"50","05","14","เทพเสด็จ                                                                                                                "
"50","05","98","เทศบาลตำบลเชิงดอย*"
"50","05","99","เทศบาลตำบลดอยสะเก็ด*"
"50","06","01","สันมหาพน                                                                                                                "
"50","06","02","แม่แตง                                                                                                                  "
"50","06","03","ขี้เหล็ก                                                                                                                "
"50","06","04","ช่อแล*"
"50","06","05","แม่หอพระ                                                                                                                "
"50","06","06","สบเปิง                                                                                                                  "
